Test set: 1455 sentences (1455 unique source)

Structured train: 3462 sentences, 0 test overlap

Found 93 train.tsv files

=====================================================================================
CONTAMINATION REPORT
=====================================================================================

Condition                                      Train  Overlap   %Test     Source
-------------------------------------------------------------------------------------
archive_pre_decontamination/ablations/minimal_pairs/PAIRS-BROKEN   3823      426   29.3%   baseline ⚠️
archive_pre_decontamination/ablations/minimal_pairs/PAIRS-INTACT   3823      413   28.4%   baseline ⚠️
archive_pre_decontamination/ablations/module_loo/FULL   3823      413   28.4%   baseline ⚠️
archive_pre_decontamination/ablations/pronoun/ALL-8   3823      413   28.4%   baseline ⚠️
archive_pre_decontamination/ablations/verb/10-VERBS   3823      413   28.4%   baseline ⚠️
archive_pre_decontamination/ablations/module_loo/NO-QUESTIONS   3240      345   23.7%   baseline ⚠️
archive_pre_decontamination/ablations/module_loo/NO-PAST   3010      322   22.1%   baseline ⚠️
archive_pre_decontamination/ablations/module_loo/NO-FUTURE   3009      317   21.8%   baseline ⚠️
archive_pre_decontamination/ablations/module_loo/NO-NEGATION   3024      311   21.4%   baseline ⚠️
archive_pre_decontamination/ablations/pronoun/REDUCED-4   1941      237   16.3%   baseline ⚠️
archive_pre_decontamination/ablations/pronoun/SINGULAR-3   1463      235   16.2%   baseline ⚠️
archive_pre_decontamination/LENGTH-STRATIFIED   1800      192   13.2%   baseline ⚠️
archive_pre_decontamination/TF-IDF-DIVERSE      1800      186   12.8%   baseline ⚠️
archive_pre_decontamination/VOCAB-MAXIMIZED     1800      186   12.8%   baseline ⚠️
archive_pre_decontamination/ablations/module_size_ctrl/NO-QUEST-1K    900      149   10.2%   baseline ⚠️
archive_pre_decontamination/ablations/module_size_ctrl/FULL-1K    900      141    9.7%   baseline ⚠️
archive_pre_decontamination/ablations/module_size_ctrl/NO-PAST-1K    900      139    9.6%   baseline ⚠️
archive_pre_decontamination/ablations/module_size_ctrl/NO-FUT-1K    900      137    9.4%   baseline ⚠️
archive_pre_decontamination/ablations/verb/5-VERBS-c    935      133    9.1%   baseline ⚠️
archive_pre_decontamination/ablations/module_size_ctrl/NO-NEG-1K    900      131    9.0%   baseline ⚠️
archive_pre_decontamination/ablations/pronoun/MINIMAL-1    470      124    8.5%   baseline ⚠️
archive_pre_decontamination/ablations/verb/5-VERBS-a    969      115    7.9%   baseline ⚠️
archive_pre_decontamination/ablations/verb/5-VERBS-b    954      113    7.8%   baseline ⚠️
archive_pre_decontamination/ablations/verb/3-VERBS-b    575      100    6.9%   baseline ⚠️
archive_pre_decontamination/ablations/module_size_ctrl/BASE-1K    815       81    5.6%   baseline ⚠️
archive_pre_decontamination/ablations/verb/3-VERBS-c    585       69    4.7%   baseline ⚠️
archive_pre_decontamination/ablations/module_loo/BASE-ONLY    815       55    3.8%   baseline ⚠️
archive_pre_decontamination/ablations/verb/3-VERBS-a    647       52    3.6%   baseline ⚠️
archive_pre_decontamination/ablations/verb/1-VERB    216       26    1.8%   baseline ⚠️
ablations/minimal_pairs/PAIRS-BROKEN            3397        0    0.0%          —
ablations/minimal_pairs/PAIRS-INTACT            3410        0    0.0%          —
ablations/module_loo/BASE-ONLY                   760        0    0.0%          —
ablations/module_loo/FULL                       3410        0    0.0%          —
